Administrador,Categoria,Código Negociação,Cotação,Data Base Último Provento,Data Pagamento Último Provento,Nome do Fundo,Vacância Financeira (Data Último Dado),Valor Último Rendimento,Yield de Distribuição 1 Mês,Valor IPO,Site Oficial,Data IPO,Gestor
BTG PACTUAL,Fundo de Fundos,RBRF11,"7,09+0,85%30/05/2025 18:38:00",12/05/2025,19/05/2025,RBR Alpha Multiestratégia Real Estate,N/D,"R$0,060","0,85%","R$10,00",https://www.rbrasset.com.br/fundos/rbr-alpha-rbrf11/,14/09/2017,RBR GESTÃO
BRL TRUST,Fundo de Fundos,ISCJ11,"96,19+0,22%26/05/2025 10:24:00",23/05/2025,30/05/2025,Invista SCJ,N/D,"R$0,570","0,59%","R$100,00",,N/D,INVISTA ASSET MANAGEMENT LTDA.
BTG PACTUAL,Fundo de Fundos,JCIN11,"150,000%27/05/2025 15:57:00",14/05/2025,21/05/2025,FOF JHSF Capital Institucional,N/D,"R$0,550","0,37%","R$100,00",https://www.btgpactual.com/,21/06/2024,JHSF CAPITAL LTDA.
BEM DTVM,Fundo de Fundos,JBFO11,"82,01+1,19%17/04/2024 10:57:00",30/05/2025,13/06/2025,JBFO FOF,N/D,"R$0,043","0,05%","R$100,00",,03/08/2020,JULIUS BAER FAMILY OFFICE
BTG PACTUAL,Fundo de Fundos,JCCJ11,"159,50+0,2%15/05/2025 16:11:00",14/05/2025,21/05/2025,JHSF Capital Cidade Jardim,N/D,"R$0,420","0,26%","R$100,00",,12/06/2023,JHSF CAPITAL LTDA.
BTG PACTUAL,Fundo de Fundos,CPFF11,"69,90+0,64%17/03/2025 17:05:00",30/04/2025,30/04/2025,Capitânia REIT FOF,N/D,"R$0,000","0,00%","R$100,00",https://capitania.net/cpff11/,02/01/2020,CAPITÂNIA S.A.
BRL TRUST,Fundo de Fundos,RCFF11,"98,00+10,11%21/05/2025 10:53:00",01/05/2025,01/04/2025,RBR Desenvolvimento Comercial Feeder FOF,N/D,"R$0,000","0,00%","R$100,00",https://www.brltrust.com.br/?administracao=rbr-desenvolvimento-comercial-feeder-fof-fii,22/06/2020,RBR GESTÃO
BTG PACTUAL,Fundo de Fundos,RECX11,"67,99+1,96%08/10/2024 16:47:00",05/11/2024,12/11/2024,REC Fundo de Fundos,N/D,"R$0,000","0,00%","R$100,00",http://rec-gestao.com/fundos/recx11,19/02/2021,REC
INTRAG,Fundo de Fundos,KNPR11,N/D,30/04/2025,30/04/2025,Kinea Premium Properties FII,N/D,"R$0,000",,"R$100,00",https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-premium-properties-knpr11/,N/D,KINEA
BANCO DAYCOVAL,Fundo de Fundos,NIVT11,N/D,,,Navi Imobiliário Total Return 2,N/D,,,"R$0,00",,N/D,NAVI REAL ESTATE SELECTION
PLANNER CORRETORA,Fundo de Fundos,FLNR11,N/D,25/05/2025,25/05/2025,Floriano,N/D,"R$0,000",,"R$1.000,00",https://www.planner.com.br/,05/06/2024,MULTIPLICA CAPITAL
